chr	start	end	pop1	pop2	metric	value
chr2L	160002	170001	OOA	AFR2	Dxy	0.156997
chr2L	180002	190001	AFR1	.	pi	0.239351
chr2L	180002	190001	AFR2	.	pi	0.272316
chr2L	180002	190001	OOA	.	pi	0.145141
chr2L	180002	190001	AFR2	AFR1	Dxy	0.255649
chr2L	180002	190001	OOA	AFR1	Dxy	0.195452
chr2L	180002	190001	OOA	AFR2	Dxy	0.215005
chr2L	190002	200001	AFR1	.	pi	0.124236
chr2L	190002	200001	AFR2	.	pi	0.431577
chr2L	190002	200001	OOA	.	pi	0.165686
chr2L	190002	200001	AFR2	AFR1	Dxy	0.337792
chr2L	190002	200001	OOA	AFR1	Dxy	0.145241
chr2L	190002	200001	OOA	AFR2	Dxy	0.346959
chr2L	200002	210001	AFR1	.	pi	0.247768
chr2L	200002	210001	AFR2	.	pi	0
chr2L	200002	210001	OOA	.	pi	0
chr2L	200002	210001	AFR2	AFR1	Dxy	0.144531
chr2L	200002	210001	OOA	AFR1	Dxy	0.144531
chr2L	200002	210001	OOA	AFR2	Dxy	0
chr2L	210002	220001	AFR1	.	pi	0.227048
chr2L	210002	220001	AFR2	.	pi	0.466483
chr2L	210002	220001	OOA	.	pi	0.283077
chr2L	210002	220001	AFR2	AFR1	Dxy	0.412123
chr2L	210002	220001	OOA	AFR1	Dxy	0.369337
chr2L	210002	220001	OOA	AFR2	Dxy	0.425166
chr2L	220002	230001	AFR1	.	pi	0.0793634
chr2L	220002	230001	AFR2	.	pi	0.194102
chr2L	220002	230001	OOA	.	pi	0.333716
chr2L	220002	230001	AFR2	AFR1	Dxy	0.172978
chr2L	220002	230001	OOA	AFR1	Dxy	0.277236
chr2L	220002	230001	OOA	AFR2	Dxy	0.344077
chr2L	240002	250001	AFR1	.	pi	0.277721
chr2L	240002	250001	AFR2	.	pi	0.0651032
chr2L	240002	250001	OOA	.	pi	0.255976
chr2L	240002	250001	AFR2	AFR1	Dxy	0.217384
chr2L	240002	250001	OOA	AFR1	Dxy	0.395303
chr2L	240002	250001	OOA	AFR2	Dxy	0.251007
chr2L	250002	260001	AFR1	.	pi	0.308322
chr2L	250002	260001	AFR2	.	pi	0.39032
chr2L	250002	260001	OOA	.	pi	0.329514
chr2L	250002	260001	AFR2	AFR1	Dxy	0.365874
chr2L	250002	260001	OOA	AFR1	Dxy	0.414305
chr2L	250002	260001	OOA	AFR2	Dxy	0.488513
chr2L	260002	270001	AFR1	.	pi	0.379955
chr2L	260002	270001	AFR2	.	pi	0.227618
chr2L	260002	270001	OOA	.	pi	0.149135
chr2L	260002	270001	AFR2	AFR1	Dxy	0.351031
chr2L	260002	270001	OOA	AFR1	Dxy	0.307824
chr2L	260002	270001	OOA	AFR2	Dxy	0.205255
chr2L	270002	280001	AFR1	.	pi	0.21214
chr2L	270002	280001	AFR2	.	pi	0.137755
chr2L	270002	280001	OOA	.	pi	0.0831648
chr2L	270002	280001	AFR2	AFR1	Dxy	0.182657
chr2L	270002	280001	OOA	AFR1	Dxy	0.172495
chr2L	270002	280001	OOA	AFR2	Dxy	0.114965
chr2L	280002	290001	AFR1	.	pi	0.147255
chr2L	280002	290001	AFR2	.	pi	0.12425
chr2L	280002	290001	OOA	.	pi	0.191105
chr2L	280002	290001	AFR2	AFR1	Dxy	0.141787
chr2L	280002	290001	OOA	AFR1	Dxy	0.184279
chr2L	280002	290001	OOA	AFR2	Dxy	0.162944
chr2L	290002	300001	AFR1	.	pi	0.233952
chr2L	290002	300001	AFR2	.	pi	0.318449
chr2L	290002	300001	OOA	.	pi	0.330643
chr2L	290002	300001	AFR2	AFR1	Dxy	0.308192
chr2L	290002	300001	OOA	AFR1	Dxy	0.292572
chr2L	290002	300001	OOA	AFR2	Dxy	0.360287
chr2L	300002	310001	AFR1	.	pi	0.272581
chr2L	300002	310001	AFR2	.	pi	0.0882773
chr2L	300002	310001	OOA	.	pi	0.162112
chr2L	300002	310001	AFR2	AFR1	Dxy	0.194195
chr2L	300002	310001	OOA	AFR1	Dxy	0.270202
chr2L	300002	310001	OOA	AFR2	Dxy	0.181029
chr2L	310002	320001	AFR1	.	pi	0.330277
chr2L	310002	320001	AFR2	.	pi	0.353132
chr2L	310002	320001	OOA	.	pi	0.252189
chr2L	310002	320001	AFR2	AFR1	Dxy	0.369282
chr2L	310002	320001	OOA	AFR1	Dxy	0.350831
chr2L	310002	320001	OOA	AFR2	Dxy	0.412195
chr2L	320002	330001	AFR1	.	pi	0.376694
chr2L	320002	330001	AFR2	.	pi	0.339787
chr2L	320002	330001	OOA	.	pi	0.206618
chr2L	320002	330001	AFR2	AFR1	Dxy	0.369049
chr2L	320002	330001	OOA	AFR1	Dxy	0.313837
chr2L	320002	330001	OOA	AFR2	Dxy	0.298492
chr2L	330002	340001	AFR1	.	pi	0.216987
chr2L	330002	340001	AFR2	.	pi	0.184912
chr2L	330002	340001	OOA	.	pi	0.190027
chr2L	330002	340001	AFR2	AFR1	Dxy	0.21224
chr2L	330002	340001	OOA	AFR1	Dxy	0.217578
chr2L	330002	340001	OOA	AFR2	Dxy	0.224431
chr2L	340002	350001	AFR1	.	pi	0.109369
chr2L	340002	350001	AFR2	.	pi	0.190721
chr2L	340002	350001	OOA	.	pi	0.372718
chr2L	340002	350001	AFR2	AFR1	Dxy	0.177218
chr2L	340002	350001	OOA	AFR1	Dxy	0.464094
chr2L	340002	350001	OOA	AFR2	Dxy	0.425494
chr2L	350002	360001	AFR1	.	pi	0.315866
chr2L	350002	360001	AFR2	.	pi	0.179925
chr2L	350002	360001	OOA	.	pi	0.150569
chr2L	350002	360001	AFR2	AFR1	Dxy	0.274071
chr2L	350002	360001	OOA	AFR1	Dxy	0.269424
chr2L	350002	360001	OOA	AFR2	Dxy	0.229018
chr2L	360002	370001	AFR1	.	pi	0.233506
chr2L	360002	370001	AFR2	.	pi	0.235701
chr2L	360002	370001	OOA	.	pi	0.0766655
chr2L	360002	370001	AFR2	AFR1	Dxy	0.253816
chr2L	360002	370001	OOA	AFR1	Dxy	0.172533
chr2L	360002	370001	OOA	AFR2	Dxy	0.177324
chr2L	370002	380001	AFR1	.	pi	0.34706
chr2L	370002	380001	AFR2	.	pi	0.296271
chr2L	370002	380001	OOA	.	pi	0.32853
chr2L	370002	380001	AFR2	AFR1	Dxy	0.342373
chr2L	370002	380001	OOA	AFR1	Dxy	0.409051
chr2L	370002	380001	OOA	AFR2	Dxy	0.345667
chr2L	380002	390001	AFR1	.	pi	0.161372
chr2L	380002	390001	AFR2	.	pi	0.142132
chr2L	380002	390001	OOA	.	pi	0.21494
chr2L	380002	390001	AFR2	AFR1	Dxy	0.166016
chr2L	380002	390001	OOA	AFR1	Dxy	0.248361
chr2L	380002	390001	OOA	AFR2	Dxy	0.198264
chr2L	390002	400001	AFR1	.	pi	0.276365
chr2L	390002	400001	AFR2	.	pi	0.166081
chr2L	390002	400001	OOA	.	pi	0.0803879
chr2L	390002	400001	AFR2	AFR1	Dxy	0.249188
chr2L	390002	400001	OOA	AFR1	Dxy	0.197979
chr2L	390002	400001	OOA	AFR2	Dxy	0.139389
chr2L	400002	410001	AFR1	.	pi	0.368729
chr2L	400002	410001	AFR2	.	pi	0.287906
chr2L	400002	410001	OOA	.	pi	0.206222
chr2L	400002	410001	AFR2	AFR1	Dxy	0.333495
chr2L	400002	410001	OOA	AFR1	Dxy	0.327035
chr2L	400002	410001	OOA	AFR2	Dxy	0.284335
chr2L	410002	420001	AFR1	.	pi	0.0882354
chr2L	410002	420001	AFR2	.	pi	0.187533
chr2L	410002	420001	OOA	.	pi	0.300498
chr2L	410002	420001	AFR2	AFR1	Dxy	0.15066
chr2L	410002	420001	OOA	AFR1	Dxy	0.250999
chr2L	410002	420001	OOA	AFR2	Dxy	0.26804
chr2L	420002	430001	AFR1	.	pi	0.188797
chr2L	420002	430001	AFR2	.	pi	0.236752
chr2L	420002	430001	OOA	.	pi	0.259202
chr2L	420002	430001	AFR2	AFR1	Dxy	0.22342
chr2L	420002	430001	OOA	AFR1	Dxy	0.25445
chr2L	420002	430001	OOA	AFR2	Dxy	0.282466
chr2L	430002	440001	AFR1	.	pi	0.330616
chr2L	430002	440001	AFR2	.	pi	0.284967
chr2L	430002	440001	OOA	.	pi	0.325231
chr2L	430002	440001	AFR2	AFR1	Dxy	0.358386
chr2L	430002	440001	OOA	AFR1	Dxy	0.362096
chr2L	430002	440001	OOA	AFR2	Dxy	0.326076
chr2L	440002	450001	AFR1	.	pi	0.279552
chr2L	440002	450001	AFR2	.	pi	0.203318
chr2L	440002	450001	OOA	.	pi	0.115594
chr2L	440002	450001	AFR2	AFR1	Dxy	0.262324
chr2L	440002	450001	OOA	AFR1	Dxy	0.223409
chr2L	440002	450001	OOA	AFR2	Dxy	0.171955
chr2L	450002	460001	AFR1	.	pi	0.255546
chr2L	450002	460001	AFR2	.	pi	0.0447368
chr2L	450002	460001	OOA	.	pi	0.0047619
chr2L	450002	460001	AFR2	AFR1	Dxy	0.17177
chr2L	450002	460001	OOA	AFR1	Dxy	0.154971
chr2L	450002	460001	OOA	AFR2	Dxy	0.0256509
chr2L	460002	470001	AFR1	.	pi	0.152925
chr2L	460002	470001	AFR2	.	pi	0.177943
chr2L	460002	470001	OOA	.	pi	0.132018
chr2L	460002	470001	AFR2	AFR1	Dxy	0.169936
chr2L	460002	470001	OOA	AFR1	Dxy	0.153792
chr2L	460002	470001	OOA	AFR2	Dxy	0.156581
chr2L	470002	480001	AFR1	.	pi	0.386564
chr2L	470002	480001	AFR2	.	pi	0.476512
chr2L	470002	480001	OOA	.	pi	0.393365
chr2L	470002	480001	AFR2	AFR1	Dxy	0.538897
chr2L	470002	480001	OOA	AFR1	Dxy	0.40169
chr2L	470002	480001	OOA	AFR2	Dxy	0.520139
chr2L	480002	490001	AFR1	.	pi	0.346938
chr2L	480002	490001	AFR2	.	pi	0.337723
chr2L	480002	490001	OOA	.	pi	0.250283
chr2L	480002	490001	AFR2	AFR1	Dxy	0.37381
chr2L	480002	490001	OOA	AFR1	Dxy	0.41002
chr2L	480002	490001	OOA	AFR2	Dxy	0.337312
chr2L	490002	500001	AFR1	.	pi	0.385313
chr2L	490002	500001	AFR2	.	pi	0.266844
chr2L	490002	500001	OOA	.	pi	0.21896
chr2L	490002	500001	AFR2	AFR1	Dxy	0.348129
chr2L	490002	500001	OOA	AFR1	Dxy	0.347672
chr2L	490002	500001	OOA	AFR2	Dxy	0.256503
chr2L	500002	510001	AFR1	.	pi	0.314329
chr2L	500002	510001	AFR2	.	pi	0.331768
chr2L	500002	510001	OOA	.	pi	0.173486
chr2L	500002	510001	AFR2	AFR1	Dxy	0.331578
chr2L	500002	510001	OOA	AFR1	Dxy	0.260157
chr2L	500002	510001	OOA	AFR2	Dxy	0.273366
chr2L	510002	520001	AFR1	.	pi	0.244074
chr2L	510002	520001	AFR2	.	pi	0.195025
chr2L	510002	520001	OOA	.	pi	0.0836776
chr2L	510002	520001	AFR2	AFR1	Dxy	0.227765
chr2L	510002	520001	OOA	AFR1	Dxy	0.193862
chr2L	510002	520001	OOA	AFR2	Dxy	0.155395
chr2L	520002	530001	AFR1	.	pi	0.314899
chr2L	520002	530001	AFR2	.	pi	0.341873
chr2L	520002	530001	OOA	.	pi	0.241671
chr2L	520002	530001	AFR2	AFR1	Dxy	0.339696
chr2L	520002	530001	OOA	AFR1	Dxy	0.349544
chr2L	520002	530001	OOA	AFR2	Dxy	0.33222
chr2L	530002	540001	AFR1	.	pi	0.331253
chr2L	530002	540001	AFR2	.	pi	0.273334
chr2L	530002	540001	OOA	.	pi	0.138995
chr2L	530002	540001	AFR2	AFR1	Dxy	0.307748
chr2L	530002	540001	OOA	AFR1	Dxy	0.283044
chr2L	530002	540001	OOA	AFR2	Dxy	0.246722
chr2L	540002	550001	AFR1	.	pi	0.212527
chr2L	540002	550001	AFR2	.	pi	0.249838
chr2L	540002	550001	OOA	.	pi	0.318469
chr2L	540002	550001	AFR2	AFR1	Dxy	0.243535
chr2L	540002	550001	OOA	AFR1	Dxy	0.350136
chr2L	540002	550001	OOA	AFR2	Dxy	0.333066
chr2L	550002	560001	AFR1	.	pi	0.302041
chr2L	550002	560001	AFR2	.	pi	0.243515
chr2L	550002	560001	OOA	.	pi	0.240578
chr2L	550002	560001	AFR2	AFR1	Dxy	0.28639
chr2L	550002	560001	OOA	AFR1	Dxy	0.331343
chr2L	550002	560001	OOA	AFR2	Dxy	0.265471
chr2L	560002	570001	AFR1	.	pi	0.331854
chr2L	560002	570001	AFR2	.	pi	0.314347
chr2L	560002	570001	OOA	.	pi	0.427746
chr2L	560002	570001	AFR2	AFR1	Dxy	0.342848
chr2L	560002	570001	OOA	AFR1	Dxy	0.47973
chr2L	560002	570001	OOA	AFR2	Dxy	0.452119
chr2L	570002	580001	AFR1	.	pi	0.332915
chr2L	570002	580001	AFR2	.	pi	0.287876
chr2L	570002	580001	OOA	.	pi	0.27944
chr2L	570002	580001	AFR2	AFR1	Dxy	0.363689
chr2L	570002	580001	OOA	AFR1	Dxy	0.374247
chr2L	570002	580001	OOA	AFR2	Dxy	0.314439
chr2L	580002	590001	AFR1	.	pi	0.174836
chr2L	580002	590001	AFR2	.	pi	0.324228
chr2L	580002	590001	OOA	.	pi	0.1436
chr2L	580002	590001	AFR2	AFR1	Dxy	0.266476
chr2L	580002	590001	OOA	AFR1	Dxy	0.185369
chr2L	580002	590001	OOA	AFR2	Dxy	0.294891
chr2L	590002	600001	AFR1	.	pi	0.323894
chr2L	590002	600001	AFR2	.	pi	0.273365
chr2L	590002	600001	OOA	.	pi	0.259844
chr2L	590002	600001	AFR2	AFR1	Dxy	0.330988
chr2L	590002	600001	OOA	AFR1	Dxy	0.344516
chr2L	590002	600001	OOA	AFR2	Dxy	0.284502
chr2L	600002	610001	AFR1	.	pi	0.258991
chr2L	600002	610001	AFR2	.	pi	0.306308
chr2L	600002	610001	OOA	.	pi	0.173455
chr2L	600002	610001	AFR2	AFR1	Dxy	0.303414
chr2L	600002	610001	OOA	AFR1	Dxy	0.224174
chr2L	600002	610001	OOA	AFR2	Dxy	0.277884
chr2L	610002	620001	AFR1	.	pi	0.338799
chr2L	610002	620001	AFR2	.	pi	0.343513
chr2L	610002	620001	OOA	.	pi	0.311035
chr2L	610002	620001	AFR2	AFR1	Dxy	0.36558
chr2L	610002	620001	OOA	AFR1	Dxy	0.387231
chr2L	610002	620001	OOA	AFR2	Dxy	0.37859
chr2L	620002	630001	AFR1	.	pi	0.345246
chr2L	620002	630001	AFR2	.	pi	0.28181
chr2L	620002	630001	OOA	.	pi	0.290089
chr2L	620002	630001	AFR2	AFR1	Dxy	0.337811
chr2L	620002	630001	OOA	AFR1	Dxy	0.331126
chr2L	620002	630001	OOA	AFR2	Dxy	0.307731
chr2L	630002	640001	AFR1	.	pi	0.31677
chr2L	630002	640001	AFR2	.	pi	0.301276
chr2L	630002	640001	OOA	.	pi	0.309014
chr2L	630002	640001	AFR2	AFR1	Dxy	0.315595
chr2L	630002	640001	OOA	AFR1	Dxy	0.332277
chr2L	630002	640001	OOA	AFR2	Dxy	0.320119
chr2L	640002	650001	AFR1	.	pi	0.413736
chr2L	640002	650001	AFR2	.	pi	0.375447
chr2L	640002	650001	OOA	.	pi	0.388165
chr2L	640002	650001	AFR2	AFR1	Dxy	0.403414
chr2L	640002	650001	OOA	AFR1	Dxy	0.410538
chr2L	640002	650001	OOA	AFR2	Dxy	0.400477
chr2L	650002	660001	AFR1	.	pi	0.273187
chr2L	650002	660001	AFR2	.	pi	0.263165
chr2L	650002	660001	OOA	.	pi	0.229444
chr2L	650002	660001	AFR2	AFR1	Dxy	0.28018
chr2L	650002	660001	OOA	AFR1	Dxy	0.283026
chr2L	650002	660001	OOA	AFR2	Dxy	0.273021
chr2L	660002	670001	AFR1	.	pi	0.325949
chr2L	660002	670001	AFR2	.	pi	0.306924
chr2L	660002	670001	OOA	.	pi	0.325897
chr2L	660002	670001	AFR2	AFR1	Dxy	0.325638
chr2L	660002	670001	OOA	AFR1	Dxy	0.340655
chr2L	660002	670001	OOA	AFR2	Dxy	0.342387
chr2L	670002	680001	AFR1	.	pi	0.318284
chr2L	670002	680001	AFR2	.	pi	0.297505
chr2L	670002	680001	OOA	.	pi	0.147152
chr2L	670002	680001	AFR2	AFR1	Dxy	0.32271
chr2L	670002	680001	OOA	AFR1	Dxy	0.367244
chr2L	670002	680001	OOA	AFR2	Dxy	0.317712
chr2L	680002	690001	AFR1	.	pi	0.277136
chr2L	680002	690001	AFR2	.	pi	0.423642
chr2L	680002	690001	OOA	.	pi	0.246717
chr2L	680002	690001	AFR2	AFR1	Dxy	0.384074
chr2L	680002	690001	OOA	AFR1	Dxy	0.305416
chr2L	680002	690001	OOA	AFR2	Dxy	0.394742
chr2L	690002	700001	AFR1	.	pi	0.308024
chr2L	690002	700001	AFR2	.	pi	0.0260192
chr2L	690002	700001	OOA	.	pi	0.00646875
chr2L	690002	700001	AFR2	AFR1	Dxy	0.206324
chr2L	690002	700001	OOA	AFR1	Dxy	0.198632
chr2L	690002	700001	OOA	AFR2	Dxy	0.0157482
chr2L	700002	710001	AFR1	.	pi	0.289323
chr2L	700002	710001	AFR2	.	pi	0.303302
chr2L	700002	710001	OOA	.	pi	0.220161
chr2L	700002	710001	AFR2	AFR1	Dxy	0.309451
chr2L	700002	710001	OOA	AFR1	Dxy	0.279377
chr2L	700002	710001	OOA	AFR2	Dxy	0.275864
chr2L	710002	720001	AFR1	.	pi	0.342058
chr2L	710002	720001	AFR2	.	pi	0.348265
chr2L	710002	720001	OOA	.	pi	0.404212
chr2L	710002	720001	AFR2	AFR1	Dxy	0.367027
chr2L	710002	720001	OOA	AFR1	Dxy	0.396511
chr2L	710002	720001	OOA	AFR2	Dxy	0.437704
chr2L	720002	730001	AFR1	.	pi	0.299273
chr2L	720002	730001	AFR2	.	pi	0.391913
chr2L	720002	730001	OOA	.	pi	0.191548
chr2L	720002	730001	AFR2	AFR1	Dxy	0.364208
chr2L	720002	730001	OOA	AFR1	Dxy	0.303785
chr2L	720002	730001	OOA	AFR2	Dxy	0.355799
chr2L	730002	740001	AFR1	.	pi	0.340592
chr2L	730002	740001	AFR2	.	pi	0.348881
chr2L	730002	740001	OOA	.	pi	0.328854
chr2L	730002	740001	AFR2	AFR1	Dxy	0.354201
chr2L	730002	740001	OOA	AFR1	Dxy	0.416325
chr2L	730002	740001	OOA	AFR2	Dxy	0.450239
chr2L	740002	750001	AFR1	.	pi	0.183283
chr2L	740002	750001	AFR2	.	pi	0.138182
chr2L	740002	750001	OOA	.	pi	0.169021
chr2L	740002	750001	AFR2	AFR1	Dxy	0.164968
chr2L	740002	750001	OOA	AFR1	Dxy	0.194391
chr2L	740002	750001	OOA	AFR2	Dxy	0.170056
chr2L	750002	760001	AFR1	.	pi	0.292309
chr2L	750002	760001	AFR2	.	pi	0.332564
chr2L	750002	760001	OOA	.	pi	0.101199
chr2L	750002	760001	AFR2	AFR1	Dxy	0.328656
chr2L	750002	760001	OOA	AFR1	Dxy	0.252364
chr2L	750002	760001	OOA	AFR2	Dxy	0.262079
chr2L	760002	770001	AFR1	.	pi	0.303522
chr2L	760002	770001	AFR2	.	pi	0.268739
chr2L	760002	770001	OOA	.	pi	0.120927
chr2L	760002	770001	AFR2	AFR1	Dxy	0.296395
chr2L	760002	770001	OOA	AFR1	Dxy	0.237295
chr2L	760002	770001	OOA	AFR2	Dxy	0.218765
chr2L	770002	780001	AFR1	.	pi	0.365734
chr2L	770002	780001	AFR2	.	pi	0.307698
chr2L	770002	780001	OOA	.	pi	0.24097
chr2L	770002	780001	AFR2	AFR1	Dxy	0.343507
chr2L	770002	780001	OOA	AFR1	Dxy	0.325461
chr2L	770002	780001	OOA	AFR2	Dxy	0.28132
chr2L	780002	790001	AFR1	.	pi	0.226335
chr2L	780002	790001	AFR2	.	pi	0.187489
chr2L	780002	790001	OOA	.	pi	0.208441
chr2L	780002	790001	AFR2	AFR1	Dxy	0.212153
chr2L	780002	790001	OOA	AFR1	Dxy	0.267536
chr2L	780002	790001	OOA	AFR2	Dxy	0.230541
chr2L	790002	800001	AFR1	.	pi	0.282277
chr2L	790002	800001	AFR2	.	pi	0.241465
chr2L	790002	800001	OOA	.	pi	0.245788
chr2L	790002	800001	AFR2	AFR1	Dxy	0.265998
chr2L	790002	800001	OOA	AFR1	Dxy	0.285934
chr2L	790002	800001	OOA	AFR2	Dxy	0.272864
chr2L	800002	810001	AFR1	.	pi	0.370057
chr2L	800002	810001	AFR2	.	pi	0.324288
chr2L	800002	810001	OOA	.	pi	0.30724
chr2L	800002	810001	AFR2	AFR1	Dxy	0.35257
chr2L	800002	810001	OOA	AFR1	Dxy	0.380195
chr2L	800002	810001	OOA	AFR2	Dxy	0.35185
chr2L	810002	820001	AFR1	.	pi	0.326555
chr2L	810002	820001	AFR2	.	pi	0.350951
chr2L	810002	820001	OOA	.	pi	0.24346
chr2L	810002	820001	AFR2	AFR1	Dxy	0.37015
chr2L	810002	820001	OOA	AFR1	Dxy	0.375076
chr2L	810002	820001	OOA	AFR2	Dxy	0.36046
chr2L	820002	830001	AFR1	.	pi	0.266073
chr2L	820002	830001	AFR2	.	pi	0.215145
chr2L	820002	830001	OOA	.	pi	0.228827
chr2L	820002	830001	AFR2	AFR1	Dxy	0.264751
chr2L	820002	830001	OOA	AFR1	Dxy	0.3027
chr2L	820002	830001	OOA	AFR2	Dxy	0.236467
chr2L	830002	840001	AFR1	.	pi	0.275794
chr2L	830002	840001	AFR2	.	pi	0.245263
chr2L	830002	840001	OOA	.	pi	0.245179
chr2L	830002	840001	AFR2	AFR1	Dxy	0.291275
chr2L	830002	840001	OOA	AFR1	Dxy	0.307804
chr2L	830002	840001	OOA	AFR2	Dxy	0.287475
chr2L	840002	850001	AFR1	.	pi	0.29348
chr2L	840002	850001	AFR2	.	pi	0.254198
chr2L	840002	850001	OOA	.	pi	0.223077
chr2L	840002	850001	AFR2	AFR1	Dxy	0.298296
chr2L	840002	850001	OOA	AFR1	Dxy	0.302219
chr2L	840002	850001	OOA	AFR2	Dxy	0.268335
chr2L	850002	860001	AFR1	.	pi	0.253214
chr2L	850002	860001	AFR2	.	pi	0.348047
chr2L	850002	860001	OOA	.	pi	0.199861
chr2L	850002	860001	AFR2	AFR1	Dxy	0.33722
chr2L	850002	860001	OOA	AFR1	Dxy	0.278201
chr2L	850002	860001	OOA	AFR2	Dxy	0.336646
chr2L	860002	870001	AFR1	.	pi	0.294637
chr2L	860002	870001	AFR2	.	pi	0.27459
chr2L	860002	870001	OOA	.	pi	0.241223
chr2L	860002	870001	AFR2	AFR1	Dxy	0.290827
chr2L	860002	870001	OOA	AFR1	Dxy	0.328486
chr2L	860002	870001	OOA	AFR2	Dxy	0.315523
chr2L	870002	880001	AFR1	.	pi	0.374385
chr2L	870002	880001	AFR2	.	pi	0.280577
chr2L	870002	880001	OOA	.	pi	0.224752
chr2L	870002	880001	AFR2	AFR1	Dxy	0.364044
chr2L	870002	880001	OOA	AFR1	Dxy	0.344204
chr2L	870002	880001	OOA	AFR2	Dxy	0.311551
chr2L	880002	890001	AFR1	.	pi	0.273184
chr2L	880002	890001	AFR2	.	pi	0.194634
chr2L	880002	890001	OOA	.	pi	0.173539
chr2L	880002	890001	AFR2	AFR1	Dxy	0.24262
chr2L	880002	890001	OOA	AFR1	Dxy	0.276913
chr2L	880002	890001	OOA	AFR2	Dxy	0.219988
